,name,phone,price_range,year_in_business,amenities,categories,city_name,city_code,zip_code,updated_at,open_status,website,order_online,rating,rating_count,rating,rating_count,rating
784,Midori,(562) 923-4648,,20.0,"['Wheelchair accessible', 'Good for groups', 'Takes reservations']","['Restaurants', 'Japanese Restaurants', 'Caterers']",Downey,CA,90240.0,2023-05-16 03:06:26.839375,OPEN NOW,,,5.0,20.0,,,
785,Stewart & Grub,(562) 659-7101,1.0,,"['Offers outdoor seating', 'Has Wifi']","['Restaurants', 'American Restaurants', 'Caterers']",Downey,CA,90241.0,2023-05-16 03:06:26.860648,OPEN NOW,https://www.facebook.com/stewartandgrub,Order Online,5.0,,,,7.41
786,Peking Restaurant,(562) 869-2607,2.0,38.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Chinese Restaurants', 'Caterers']",Downey,CA,90241.0,2023-05-16 03:06:26.882297,CLOSED NOW,http://www.facebook.com/pages/Peking%20Restaurant/120617384618324,Order Online,2.0,38.0,4.0,11.0,7.35
787,Stox Restaurant & Bakery,(562) 803-4004,2.0,39.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Pizza', 'American Restaurants']",Downey,CA,90242.0,2023-05-16 03:06:26.485857,OPEN NOW,http://www.stoxrestaurant.com,Order Online,4.0,39.0,4.0,25.0,6.68
788,Kyoto Sushi,(818) 832-1183,2.0,26.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol']","['Restaurants', 'Sushi Bars', 'Caterers']",Northridge,CA,91324.0,2023-05-16 03:07:30.508265,OPEN NOW,http://www.kyotosushiweb.com,Order Online,4.5,26.0,,,
789,Coco Burrito,(424) 240-3134,1.0,,,['Restaurants'],Compton,CA,90220.0,2023-05-16 03:06:25.930083,OPEN NOW,http://ordercocoburrito.com,Order Online,,,,,
790,Los Sombreros Restaurant,(310) 763-1018,1.0,33.0,,"['Restaurants', 'Family Style Restaurants', 'Mexican Restaurants']",Compton,CA,90221.0,2023-05-16 03:06:25.788289,CLOSED NOW,http://orderlossombrerosrestaurant.com,,,33.0,,,
791,Dunkin_,(424) 287-2119,,,,"['Restaurants', 'Donut Shops', 'Bagels']",Wilmington,CA,90744.0,2023-05-16 03:07:57.972506,OPEN NOW,https://locations.dunkindonuts.com/en/ca/los-angeles/1326-west-anaheim-st/355684?y_source=1_MTIxMTI4MjktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,,,,,,7.07
792,Dk Donuts,(310) 608-1286,,11.0,,"['Restaurants', 'Donut Shops']",Compton,CA,90222.0,2023-05-16 03:06:25.801062,OPEN NOW,,Order Online,5.0,11.0,,,
793,Apple Spice Junction,(310) 885-5222,1.0,35.0,,"['Restaurants', 'Thai Restaurants', 'Caterers']",Compton,CA,90220.0,2023-05-16 03:06:25.813931,CLOSED NOW,http://www.applespice.com,Order Online,5.0,35.0,5.0,4.0,7.82
794,Pizza King,(310) 638-0413,1.0,37.0,['Serves alcohol'],"['Restaurants', 'Pizza']",Compton,CA,90221.0,2023-05-16 03:06:25.827236,OPEN NOW,http://www.ringtheking.com,Order Online,1.0,37.0,,,
795,Little Caesars Pizza,(310) 830-0122,1.0,,,"['Restaurants', 'Pizza', 'Take Out Restaurants']",Wilmington,CA,90744.0,2023-05-16 03:07:57.770991,OPEN NOW,https://littlecaesars.com/en-us/store/7726,,,,,,6.52
796,The Palms,(562) 776-0905,2.0,14.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Seafood Restaurants', 'Caterers']",Downey,CA,90240.0,2023-05-16 03:06:26.509250,OPEN NOW,,,3.0,14.0,4.5,8.0,7.29
797,Everytable,(323) 509-3103,,,,['Restaurants'],Baldwin Park,CA,91706.0,2023-05-16 03:06:55.717130,CLOSED NOW,https://everytable.com,,,,,,
798,Papa Johns Pizza,(310) 219-7575,2.0,38.0,,"['Restaurants', 'Pizza', 'Take Out Restaurants']",Lawndale,CA,90260.0,2023-05-16 03:07:56.532745,OPEN NOW,https://locations.papajohns.com/united-states/ca/90260/lawndale/15651-hawthorne-blvd?utm_source=yext-listings&utm_medium=referral&y_source=1_MTA2OTEyOTktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,Order Online,,38.0,2.5,2.0,6.15
799,Burrito King,(626) 279-9191,1.0,,,['Restaurants'],South El Monte,CA,91733.0,2023-05-16 03:06:50.112457,,,Order Online,,,,,
800,Coco_s Bakery and Restaurant,(562) 927-6713,2.0,75.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",Downey,CA,90240.0,2023-05-16 03:06:26.942669,OPEN NOW,http://www.cocosbakery.com,,1.0,75.0,,,
801,Garden Buffet,(562) 622-3938,,,['Wheelchair accessible'],"['Restaurants', 'Buffet Restaurants', 'American Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:26.954958,OPEN NOW,,Order Online,,,,,
802,China Bowl Express,(310) 518-2667,1.0,20.0,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",Carson,CA,90745.0,2023-05-16 03:07:11.626826,OPEN NOW,http://chinabowlexpress.com,Order Online,,20.0,,,
803,Hall of Fame Market & Deli,(562) 862-0010,1.0,12.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Delicatessens']",Downey,CA,90241.0,2023-05-16 03:06:27.043599,OPEN NOW,http://www.facebook.com/HallOfFameMarket,Order Online,,12.0,,,7.92
804,Baby Bros Pizza,(562) 923-8800,2.0,12.0,['Serves alcohol'],"['Restaurants', 'Pizza', 'Italian Restaurants']",Downey,CA,90240.0,2023-05-16 03:06:26.903112,OPEN NOW,http://babybrospizza.com,Order Online,3.0,12.0,3.5,8.0,7.1
805,Pomodoro Trattoria,(310) 445-9998,2.0,28.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Caterers']",Los Angeles,CA,90024.0,2023-05-16 03:06:08.030503,OPEN NOW,http://www.pomodorowestwood.com,,5.0,28.0,4.5,86.0,8.49
806,Bar Louie,(747) 237-3500,,7.0,,"['Restaurants', 'American Restaurants', 'Bars']",Northridge,CA,91324.0,2023-05-16 03:07:30.787877,OPEN NOW,http://www.barlouie.com,,,7.0,3.5,13.0,6.54
807,Jim_s Burgers,(626) 810-3700,1.0,65.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi']",['Restaurants'],La Puente,CA,91744.0,2023-05-16 03:07:45.891770,OPEN NOW,http://jimsburgerlapuente.com,,5.0,65.0,4.5,2.0,
808,Johnny Carino_s,(562) 803-0108,2.0,55.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Take Out Restaurants']",Downey,CA,90242.0,2023-05-16 03:06:26.917798,OPEN NOW,http://www.carinos.com,Order Online,1.0,55.0,4.0,26.0,7.71
809,Ceviche Del Rey,(562) 806-4033,2.0,28.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Mexican Restaurants', 'Take Out Restaurants']",Downey,CA,90240.0,2023-05-16 03:06:26.544478,OPEN NOW,https://www.facebook.com/Ceviche-Del-Rey-601249573366446,Order Online,5.0,28.0,,,
810,Frantone_s Pizza and Spaghetti Villa,(562) 923-7248,2.0,60.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Pizza', 'Family Style Restaurants']",Downey,CA,90240.0,2023-05-16 03:06:26.930313,OPEN NOW,http://www.frantones.com,Order Online,1.0,60.0,5.0,8.0,
811,Mariscos Choix,(562) 904-3730,2.0,8.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Mexican Restaurants', 'Bars']",Downey,CA,90241.0,2023-05-16 03:06:27.054875,OPEN NOW,https://www.mariscoschoix.com,,,8.0,3.0,2.0,6.89
812,Crimson Coward,(562) 396-0616,4.0,4.0,,"['Restaurants', 'American Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.066175,OPEN NOW,http://www.crimsoncoward.com,,,4.0,5.0,3.0,6.7
813,Black Bear Diner Downey,(562) 469-4434,2.0,,,"['Restaurants', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",Downey,CA,90240.0,2023-05-16 03:06:27.088647,OPEN NOW,https://blackbeardiner.com/location/downey,Order Online,,,3.0,5.0,7.64
814,Mimi_s Bistro + Bakery,(818) 717-8334,,,,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",Chatsworth,CA,91311.0,2023-05-16 03:07:39.578006,OPEN NOW,https://www.mimiscafe.com/locations/northridge,,,,,,
815,Golden Palace Chinese Restaurant,(562) 861-8591,1.0,21.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",Downey,CA,90240.0,2023-05-16 03:06:27.134202,OPEN NOW,http://www.goldenplanetforum.com,Order Online,,21.0,4.0,6.0,7.06
816,Burger City Grill,(562) 250-3700,2.0,10.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","['Restaurants', 'Hamburgers & Hot Dogs', 'American Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.157105,CLOSED NOW,https://www.eatkey.com/EatLogin,,,10.0,,,
817,Starfish Sushi,(562) 861-2700,2.0,10.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Sushi Bars', 'Caterers']",Downey,CA,90241.0,2023-05-16 03:06:27.168637,OPEN NOW,https://www.facebook.com/starfishsushidowney,Order Online,,10.0,4.0,18.0,8.19
818,Stinkin Crawfish,(562) 862-0028,2.0,9.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","['Restaurants', 'Seafood Restaurants', 'Creole & Cajun Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.179741,OPEN NOW,http://www.stinkincrawfish.com,Order Online,,9.0,4.0,16.0,7.2
819,L.A Buns,(562) 923-9038,1.0,,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Caterers']",Downey,CA,90241.0,2023-05-16 03:06:27.211591,OPEN NOW,https://www.facebook.com/LA-Buns-234759219934187,Order Online,,,4.5,9.0,7.95
820,La Barca Restaurantes,(562) 381-0253,,,,"['Restaurants', 'Latin American Restaurants', 'Family Style Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.236362,OPEN NOW,http://www.labarcarestaurant.net,Order Online,,,4.5,2.0,
821,El Sushi Loco,(562) 869-9305,2.0,,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Sushi Bars', 'Caterers']",Downey,CA,90241.0,2023-05-16 03:06:27.262061,CLOSED NOW,http://elsushiloco.com,Order Online,,,,,6.12
822,BJS Downey,(562) 231-0828,,15.0,,"['Restaurants', 'American Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.282110,OPEN NOW,http://bjsrestaurant.com,,,15.0,,,
823,Chinese Gourmet Express,(562) 861-3594,,,,"['Restaurants', 'Chinese Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.301927,,http://chinese-gourmet-express.com,,,,,,
824,Great Khan_s Stonewood,(562) 861-6119,2.0,19.0,,"['Restaurants', 'Chinese Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.341217,OPEN NOW,,,,19.0,2.5,3.0,
825,El Salto Del Fraile,(562) 928-6395,2.0,25.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Latin American Restaurants', 'Family Style Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.383431,OPEN NOW,,,,25.0,3.5,4.0,6.68
826,Cabine De Cafe Inc.,(562) 861-5108,,,"['Wheelchair accessible', 'Good for groups', 'Has Wifi']","['Restaurants', 'Coffee Shops', 'Take Out Restaurants']",Downey,CA,90242.0,2023-05-16 03:06:27.404855,CLOSED NOW,http://instagram.com/cabinedecafe,,,,,,
827,Sutha Thai Cuisine,(562) 622-8602,2.0,23.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Thai Restaurants', 'Caterers']",Downey,CA,90241.0,2023-05-16 03:06:27.426477,OPEN NOW,,Order Online,,23.0,4.0,1.0,7.77
828,Zen Chinese Kitchen,(562) 803-1188,,,,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",Downey,CA,90242.0,2023-05-16 03:06:27.446623,OPEN NOW,https://www.kaowokchinesekitchen.com,Order Online,,,4.0,3.0,
829,Hong Kong Chef,(562) 862-8746,1.0,38.0,['Wheelchair accessible'],"['Restaurants', 'Chinese Restaurants']",Downey,CA,90241.0,2023-05-16 03:06:27.466742,OPEN NOW,https://hong-kong-chef.edan.io,Order Online,,38.0,,,
830,China Wok Express,(562) 925-7008,1.0,31.0,,"['Restaurants', 'Chinese Restaurants', 'Take Out Restaurants']",Bellflower,CA,90706.0,2023-05-16 03:06:33.981701,OPEN NOW,http://eatchinawok.com,,,31.0,,,
831,Happa Restaurant,(310) 323-8890,2.0,19.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Japanese Restaurants', 'Bars']",Gardena,CA,90247.0,2023-05-16 03:06:28.256967,CLOSED NOW,http://www.happarestaurant.com,,,19.0,4.0,18.0,7.33
832,Oh My Burger,(310) 756-6522,2.0,16.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi']","['Restaurants', 'Hamburgers & Hot Dogs', 'Caterers']",Gardena,CA,90249.0,2023-05-16 03:06:28.268512,CLOSED NOW,http://www.ohmyburgerla.com,Order Online,,16.0,4.5,28.0,8.46
833,Southbay Noodles Inc,(310) 324-4306,,31.0,,"['Restaurants', 'Asian Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.280422,CLOSED NOW,https://www.southbayoptometricsociety.com,,,31.0,,,
834,King_s Hawaiian - The Local Place,(310) 523-3233,1.0,20.0,['Wheelchair accessible'],"['Restaurants', 'American Restaurants', 'Dessert Restaurants']",Gardena,CA,90248.0,2023-05-16 03:06:28.291739,OPEN NOW,http://www.thelocalplace.com,Order Online,5.0,20.0,4.0,90.0,
835,Sakae Sushi,(310) 532-4550,1.0,61.0,['Wheelchair accessible'],"['Restaurants', 'Sushi Bars', 'Caterers']",Gardena,CA,90247.0,2023-05-16 03:06:28.316443,CLOSED NOW,http://pt-br.facebook.com/pages/Sakae-Sushi/113796961987047,,4.5,61.0,5.0,20.0,8.05
836,Chop-Chop Kitchen,(310) 323-4076,1.0,30.0,['Wheelchair accessible'],"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.328113,OPEN NOW,,,4.5,30.0,,,
837,Wasabi Sushiya,(310) 780-7372,1.0,,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'Japanese Restaurants', 'Caterers']",Gardena,CA,90249.0,2023-05-16 03:06:28.339304,CLOSED NOW,https://wasabisushiya.com,Order Online,5.0,,,,
838,Pho Hong Long,(310) 679-5359,1.0,32.0,['Wheelchair accessible'],"['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.351440,CLOSED NOW,http://www.facebook.com/phohonglong.gardena,Order Online,5.0,32.0,4.5,10.0,6.4
839,Martinez Boyz BBQ,(310) 225-5587,,,,"['Restaurants', 'Barbecue Restaurants', 'Caterers']",Gardena,CA,90247.0,2023-05-16 03:06:28.374809,,,,5.0,,,,
840,Rascals Teriyaki Grill,(310) 516-8814,1.0,13.0,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'Barbecue Restaurants', 'Caterers']",Gardena,CA,90248.0,2023-05-16 03:06:28.386250,OPEN NOW,http://www.rascalsteriyaki.com,,5.0,13.0,4.0,9.0,7.85
841,Shilla Restaurant,(310) 538-8848,2.0,39.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations', 'Good for families']","['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.234009,OPEN NOW,,Order Online,5.0,39.0,3.5,7.0,7.82
842,Mapo Korean BBQ,(310) 679-3622,1.0,,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.397587,OPEN NOW,,,5.0,,4.0,1.0,5.66
843,At Home Kitchen,(310) 965-0804,1.0,10.0,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'Japanese Restaurants', 'Caterers']",Gardena,CA,90247.0,2023-05-16 03:06:28.409274,OPEN NOW,http://www.at-home-kitchen.com,Order Online,5.0,10.0,,,
844,Mariscos Los Primos,(310) 329-9707,2.0,11.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Family Style Restaurants', 'Mexican Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.420943,OPEN NOW,,Order Online,5.0,11.0,,,
845,Eatalian Cafe,(310) 532-8880,2.0,14.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Coffee Shops', 'Italian Restaurants']",Gardena,CA,90248.0,2023-05-16 03:06:28.432400,OPEN NOW,http://www.eataliangroup.com,Order Online,5.0,14.0,4.5,257.0,9.13
846,Sushi Island,(310) 327-1644,1.0,19.0,['Wheelchair accessible'],"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",Gardena,CA,90248.0,2023-05-16 03:06:28.443869,OPEN NOW,http://www.sushiislandgardena.com,Order Online,5.0,19.0,4.5,11.0,7.75
847,La Villa Mexican Food Restaurant,(310) 675-3393,1.0,39.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Mexican Restaurants', 'Latin American Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.455267,CLOSED NOW,http://www.grubhub.com/la/la-villa-mexican-restaurant,Order Online,4.0,39.0,4.5,14.0,6.81
848,El Pollo Inka,(310) 676-6665,2.0,30.0,"['Wheelchair accessible', 'Serves alcohol', 'Good for families']","['Restaurants', 'Vegetarian Restaurants', 'Caterers']",Lawndale,CA,90260.0,2023-05-16 03:07:56.343317,OPEN NOW,http://www.elpolloinka.com,Order Online,4.5,30.0,4.0,89.0,8.16
849,Pho Consomme,(310) 217-1130,1.0,13.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.489910,OPEN NOW,,Order Online,1.0,13.0,4.0,14.0,8.86
850,Crab Shack,(310) 808-9908,,,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets']",Gardena,CA,90249.0,2023-05-16 03:06:28.501876,OPEN NOW,http://tcrabshack.com,Order Online,1.0,,4.5,7.0,7.28
851,Kanpachi,(310) 515-1391,3.0,30.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",Gardena,CA,90248.0,2023-05-16 03:06:28.512954,CLOSED NOW,http://www.facebook.com/KanpachiGardena,,1.0,30.0,4.0,15.0,7.29
852,Pho Ever Restaurant,(310) 217-9262,1.0,14.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Vietnamese Restaurants', 'Family Style Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.524214,CLOSED NOW,,Order Online,,14.0,4.5,10.0,7.13
853,Matthews Home Style Cooking,(310) 817-5496,2.0,14.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Takes reservations']","['Restaurants', 'Coffee Shops', 'American Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.536087,CLOSED NOW,https://www.matthewshomestylecooking.com,Order Online,,14.0,,,7.32
854,Shin Sen Gumi,(310) 532-0728,2.0,17.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",Gardena,CA,90248.0,2023-05-16 03:06:28.549027,OPEN NOW,http://www.shinsengumigroup.com,,,17.0,4.0,14.0,8.0
855,Patio Motel,(310) 327-8000,2.0,47.0,['Has Wifi'],"['Restaurants', 'Barbecue Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.706239,OPEN 24 Hours,http://www.patiohotelgardena.com,,,47.0,1.5,7.0,
856,Lomeli_s Restaurant,(310) 323-7993,2.0,11.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","['Restaurants', 'Pizza', 'Take Out Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.210408,OPEN NOW,http://www.lomelis.com,Order Online,5.0,11.0,4.5,127.0,7.94
857,Licha_s Restaurant,(323) 338-2920,,,,"['Restaurants', 'Family Style Restaurants']",Hawthorne,CA,90250.0,2023-05-16 03:06:32.367429,CLOSED NOW,,,5.0,,,,
858,Jidaiya Ramen Dining,(310) 532-0999,1.0,,['Wheelchair accessible'],"['Restaurants', 'Asian Restaurants']",Gardena,CA,90248.0,2023-05-16 03:06:28.718363,OPEN NOW,http://www.torihei-usa.com,Order Online,,,4.0,20.0,8.52
859,Channy Pan Y Comidas Guatemaltecas,(424) 675-4526,1.0,,,['Restaurants'],Hawthorne,CA,90250.0,2023-05-16 03:06:33.162737,OPEN NOW,,Order Online,,,,,
860,Cherri_s Donut Plus,(562) 920-3425,1.0,39.0,['Wheelchair accessible'],"['Restaurants', 'Donut Shops']",Bellflower,CA,90706.0,2023-05-16 03:06:34.570478,CLOSED NOW,http://www.facebook.com/pages/Cherris-Donut-Plus/142716979108591,Order Online,,39.0,3.5,4.0,
861,Sushi Sumo,(310) 516-0499,2.0,19.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.760843,OPEN NOW,http://www.sushisumo.com,,,19.0,4.5,12.0,8.35
862,Seafood Village Restaurant,(626) 289-0088,2.0,,,"['Restaurants', 'Seafood Restaurants', 'Chinese Restaurants']",Monterey Park,CA,91754.0,2023-05-16 03:06:29.553261,OPEN NOW,,Order Online,5.0,,4.0,29.0,
863,Ocean Star Restaurant,(626) 308-2128,2.0,35.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Asian Restaurants', 'Caterers']",Monterey Park,CA,91754.0,2023-05-16 03:06:29.585695,CLOSED NOW,,Order Online,4.5,35.0,4.0,1.0,
864,Happy Family Restaurant,(626) 282-8986,2.0,34.0,"['Wheelchair accessible', 'Takes reservations']","['Restaurants', 'Chinese Restaurants', 'Family Style Restaurants']",Monterey Park,CA,91754.0,2023-05-16 03:06:29.596393,OPEN NOW,,,4.0,34.0,4.0,22.0,6.98
865,Chang Jiang Seafood,(626) 452-0908,,19.0,,['Restaurants'],South El Monte,CA,91733.0,2023-05-16 03:06:50.135238,,,,,19.0,,,
866,Shin-Sen-Gumi,(626) 943-7956,2.0,12.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Japanese Restaurants', 'Seafood Restaurants']",Monterey Park,CA,91754.0,2023-05-16 03:06:29.618456,CLOSED NOW,http://www.shinsengumigroup.com,Order Online,4.5,12.0,,,7.32
867,Curry House,(626) 588-2002,2.0,20.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Japanese Restaurants', 'Caterers']",Monterey Park,CA,91754.0,2023-05-16 03:06:29.629724,OPEN NOW,,Order Online,3.5,20.0,,,
868,Kam Hong Garden,(626) 280-9318,1.0,,['Wheelchair accessible'],"['Restaurants', 'Chinese Restaurants']",Monterey Park,CA,91755.0,2023-05-16 03:06:29.640157,OPEN NOW,https://www.facebook.com/pages/Kam-Hong-Garden/156692434376532,,4.5,,4.0,5.0,5.79
869,Tokyo Fried Chicken Co.,(626) 282-9829,2.0,,['Serves alcohol'],"['Restaurants', 'Japanese Restaurants', 'American Restaurants']",Monterey Park,CA,91754.0,2023-05-16 03:06:29.675478,,,Order Online,4.0,,4.0,28.0,7.68
870,Myungin Dumpling,(657) 529-1068,,,,"['Restaurants', 'Korean Restaurants']",Buena Park,CA,90621.0,2023-05-16 03:07:17.041299,OPEN NOW,,,,,,,
871,Atlantic Seafood & Dim Sum restaurant,(626) 872-0388,2.0,15.0,"['Serves alcohol', 'Takes reservations']","['Restaurants', 'Seafood Restaurants', 'Banquet Halls & Reception Facilities']",Monterey Park,CA,91754.0,2023-05-16 03:06:29.531764,OPEN NOW,http://www.atlantic-seafood.net,,5.0,15.0,4.0,37.0,7.56
872,Ramen Shack Takumiya,(424) 329-3622,2.0,,['Wheelchair accessible'],"['Restaurants', 'Japanese Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.813914,CLOSED NOW,https://www.facebook.com/Ramen-Shack-Takumiya-Gardena-531110090398618,,,,4.5,3.0,7.27
873,Jun Bento,(310) 515-4877,,,,"['Restaurants', 'Chinese Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.771538,,,,,,,,
874,Ladybug Asian Grill,(310) 327-9546,1.0,17.0,['Wheelchair accessible'],"['Restaurants', 'Sushi Bars', 'Caterers']",Gardena,CA,90247.0,2023-05-16 03:06:28.782217,CLOSED NOW,http://www.ladybugasiangrill.com,,,17.0,,,
875,Yellow Cow Korean Restaurant,(310) 329-7343,2.0,30.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.792751,OPEN NOW,http://www.myyellowcow.com,Order Online,,30.0,4.0,24.0,7.34
876,Tata_s Cafe,(424) 675-4168,,,,['Restaurants'],Hawthorne,CA,90250.0,2023-05-16 03:06:33.174000,CLOSED NOW,https://aguasloscipotes.godaddysites.com,,,,,,
877,Tamaen Japanese BBQ & Steak,(310) 323-4129,,,,"['Restaurants', 'Japanese Restaurants', 'Take Out Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.824714,CLOSED NOW,https://www.tamaenus.com,,,,5.0,4.0,
878,Kiraku,(310) 515-0966,1.0,27.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.835483,OPEN NOW,http://www.facebook.com/pages/category/Ramen-Restaurant/Kiraku-RAMEN-1483087771964958,,,27.0,4.0,11.0,6.63
879,Daruma Izakaya Karaoke Pub,(310) 323-0133,,,,"['Restaurants', 'Family Style Restaurants', 'Bars']",Gardena,CA,90247.0,2023-05-16 03:06:28.845547,,,,,,,,
880,Shu -Chan Restaurant,(310) 719-7102,,,,"['Restaurants', 'Japanese Restaurants']",Gardena,CA,90247.0,2023-05-16 03:06:28.858711,CLOSED NOW,,,,,,,
881,Halmae Jip Restaurant,(310) 323-6172,,,,"['Restaurants', 'Family Style Restaurants']",Gardena,CA,90249.0,2023-05-16 03:06:28.869140,,,,,,,,
882,Daikokuya,(213) 626-1680,1.0,21.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Japanese Restaurants']",Los Angeles,CA,90012.0,2023-05-16 03:13:27.298428,OPEN NOW,http://www.daikoku-ten.com,Order Online,4.5,21.0,4.5,88.0,8.04
